Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02300,C000106,224.0,2025-02-03,FG,0,0,FG-SOLAR PANEL WB,SINV24-02300,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01748:,SINV24-02301,,0.0,2025-02-03,,0,0,,SINV24-02301,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2242240.0,2242240.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02301,C000106,196.0,2025-02-03,FG,0,0,FG-SOLAR PANEL WB,SINV24-02301,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01749:,SINV24-02302,,0.0,2025-02-01,FG,0,0,,SINV24-02302,FBI MULTI VENTURES,CHADOORA,JK
2993760.0,2993760.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV24-02302,C000248,252.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02302,FBI MULTI VENTURES,CHADOORA,JK
0.0,0.0,Shipment No. DS24-01750:,SINV24-02303,,0.0,2025-02-01,FG,0,0,,SINV24-02303,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02303,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02303,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01751:,SINV24-02304,,0.0,2025-02-01,FG,0,0,,SINV24-02304,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02304,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02304,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01752:,SINV24-02305,,0.0,2025-02-01,,0,0,,SINV24-02305,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02305,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02305,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01753:,SINV24-02306,,0.0,2025-02-01,,0,0,,SINV24-02306,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02306,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02306,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Document created to avoid gap in No. Series,SINV24-02307,,0.0,0001-01-01,,0,0,,SINV24-02307,BHARAT ENTERPRISES,SAHARANPUR,UP
0.0,0.0,Shipment No. DS24-01794:,SINV24-02310,,0.0,2025-02-03,,0,0,,SINV24-02310,KATAL ELECTRONICS,MUKERIAN,PB
80500.0,80500.0,SOLAR ON GRID TIE INVERTER 3.0 KW SINGLE MPPT 1 STR-1PH,SINV24-02310,C000080,5.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02310,KATAL ELECTRONICS,MUKERIAN,PB
0.0,0.0,Shipment No. DS24-01795:,SINV24-02310,,0.0,2025-02-03,,0,0,,SINV24-02310,KATAL ELECTRONICS,MUKERIAN,PB
25600.0,25600.0,SOLAR ON GRID TIE INVERTER 5.0 KW SINGLE MPPT 1 STR-1PH,SINV24-02310,C000080,1.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02310,KATAL ELECTRONICS,MUKERIAN,PB
0.0,0.0,Shipment No. DS24-01792:,SINV24-02311,,0.0,2025-02-03,,0,0,,SINV24-02311,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
32400.0,32400.0,SOLAR ON GRID TIE INVERTER 3.4 KW SINGLE MPPT 1 STR-1PH,SINV24-02311,C000132,2.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02311,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
0.0,0.0,Shipment No. DS24-01793:,SINV24-02311,,0.0,2025-02-03,,0,0,,SINV24-02311,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
25600.0,25600.0,SOLAR ON GRID TIE INVERTER 5.0 KW SINGLE MPPT 1 STR-1PH,SINV24-02311,C000132,1.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02311,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
0.0,0.0,Shipment No. DS24-01790:,SINV24-02312,,0.0,2025-02-03,,0,0,,SINV24-02312,UDIT ENTERPRISES,GONDA,UP
129600.0,129600.0,SOLAR ON GRID TIE INVERTER 3.4 KW SINGLE MPPT 1 STR-1PH,SINV24-02312,C000208,8.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02312,UDIT ENTERPRISES,GONDA,UP
0.0,0.0,Shipment No. DS24-01791:,SINV24-02312,,0.0,2025-02-03,,0,0,,SINV24-02312,UDIT ENTERPRISES,GONDA,UP
41000.0,41000.0,SOLAR ON GRID TIE INVERTER 4.2 KW SINGLE MPPT 1 STR-1PH,SINV24-02312,C000208,2.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02312,UDIT ENTERPRISES,GONDA,UP
0.0,0.0,Shipment No. DS24-01786:,SINV24-02313,,0.0,2025-02-03,,0,0,,SINV24-02313,SHRADDHAPREM ENTERPRISES,GORAKHPUR,UP
20500.0,20500.0,SOLAR ON GRID TIE INVERTER 4.2 KW SINGLE MPPT 1 STR-1PH,SINV24-02313,C000227,1.0,2025-02-03,FG,0,0,ON GRID INVERTER,SINV24-02313,SHRADDHAPREM ENTERPRISES,GORAKHPUR,UP
0.0,0.0,Shipment No. DS24-01769:,SINV24-02316,,0.0,2025-02-03,,0,0,,SINV24-02316,LALA MELI RAM AND SONS,NARWANA,HR
342650.0,342650.0,SOLAR PANEL 550 WP MONO HALF CUT DCR BIFACIAL GLASS TO BACK SHEET,SINV24-02316,C000087,28.0,2025-02-03,FG,0,0,FG-SOLAR PANEL TB,SINV24-02316,LALA MELI RAM AND SONS,NARWANA,HR
0.0,0.0,Shipment No. DS24-01787:,SINV24-02320,,0.0,2025-02-03,,0,0,,SINV24-02320,SIDHU COMPUTER CARE,MALOUT,PB
