no,billToName,billToCity,state
SINV25-01507,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01508,HARI ASHISH SOLAR AND BATTERY,FAZILKA,PB
SINV25-01509,ECOGOLD SOLAR PRODUCTS & SYSTEMS PRIVATE LIMITED,LUCKNOW,UP
SINV25-01510,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01511,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01512,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01513,SHRAVYA SOLAR TECHNOLOGIES PVT LTD,BAHADURGARH,HR
SINV25-01514,OSWAL PUMPS,BHIWANI,HR
SINV25-01515,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01516,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01517,TANYA ENTERPRISES,DELHI,DL
SINV25-01518,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01519,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01520,POWERADE SOLUTION,REWARI,HR
SINV25-01521,OSWAL PUMPS,BHIWANI,HR
SINV25-01522,ASJANS EXPORT PRIVATE LIMITED,NARAVITA PART 1,AS
SINV25-01523,SWAVALAMBH INFOTECH PRIVATE LIMITED,SIKANDRA,UP
SINV25-01524,BRAJ URJA,AGRA,UP
SINV25-01525,TANYA ENTERPRISES,DELHI,DL
SINV25-01526,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01527,SAATVIK GREEN ENERGY LIMITED,AMBALA,HR
SINV25-01528,SAATVIK GREEN ENERGY LIMITED,AMBALA,HR
SINV25-01529,SAATVIK GREEN ENERGY LIMITED,AMBALA,HR
SINV25-01530,KATAL ELECTRONICS,MUKERIAN,PB
SINV25-01531,ELECTRO POWER,FARIDABAD,HR
SINV25-01532,ROHTAS KUMAR AND BROS.,SOHNA,HR
SINV25-01533,MOR TRADING & CONSTRUCTION CO.,RADAUR,HR
SINV25-01534,NEGO RENOVATION & MECHATRONICS,ARISIPALAYAM,TN
SINV25-01535,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01536,SRI GURURAJA COMMUNICATIONS,CHITRADURGA,KA
SINV25-01537,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01538,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01539,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01540,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01541,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01542,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01543,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01544,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01545,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01546,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01547,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01548,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01549,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01550,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01551,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01552,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01553,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01554,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01555,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01556,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01557,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01558,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01559,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01560,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01561,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01562,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01563,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01564,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01565,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01566,ECOSOLAR POWER MARKETING PRIVATE LIMITED,SARDULGARH,PB
SINV25-01567,NAVYA TRADERS,ISMAILAPUR,UP
SINV25-01568,INNOVATIVE ENGINEERING CO.,RAJPURA,PB
SINV25-01569,SHIV DHVANI TRADERS,JHANSI,UP
SINV25-01570,MOR TRADING & CONSTRUCTION CO.,RADAUR,HR
SINV25-01571,KTC SOLAR,MOONAK,PB
SINV25-01572,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01573,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01574,TANYA ENTERPRISES,DELHI,DL
SINV25-01575,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01576,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01577,TANYA ENTERPRISES,DELHI,DL
SINV25-01578,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01579,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01580,MOR TRADING & CONSTRUCTION CO.,RADAUR,HR
SINV25-01581,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01582,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01583,GANESH PIPE STORE,MANDI DABWALI,HR
SINV25-01584,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01585,TANYA ENTERPRISES,DELHI,DL
SINV25-01586,SHUBHAM ENTERPRISES,KARNAL,HR
SINV25-01587,RAJDEEP ECO CARE,LADWA,HR
SINV25-01588,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01589,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01590,GANESH PIPE STORE,MANDI DABWALI,HR
SINV25-01591,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01592,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01593,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01594,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01595,B.S.A. TRADERS,SIRSA,HR
SINV25-01596,ISHAAN BRIGHT ENERGY (OPC) PRIVATE LIMITED,KURUKSHETRA,HR
SINV25-01597,SK SOLAR,JAIPUR,RJ
SINV25-01598,GREEN SOLAR ENERGY,MEERUT,UP
SINV25-01599,OSWAL PUMPS,BHIWANI,HR
SINV25-01600,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01601,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01602,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01603,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01604,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01605,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01606,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01607,RAJDEEP ECO CARE,LADWA,HR
SINV25-01608,J S ELECTRONICS,CHHARRA,UP
SINV25-01609,ISHAAN BRIGHT ENERGY (OPC) PRIVATE LIMITED,KURUKSHETRA,HR
SINV25-01610,NTP ENTERPRISES,NAWABGANJ,UP
SINV25-01611,PAWANI AGENCY,MAHOLI,UP
SINV25-01612,CHAHAL TRADING COMPANY,UKLANAMANDI,HR
SINV25-01613,BDB VENTURES PRIVATE LIMITED,NEW DELHI,DL
SINV25-01614,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01615,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01616,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01617,ELECTRONICS HUB,ROHTAK,HR
SINV25-01618,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01619,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01620,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01621,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01622,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01623,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01624,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01625,TANYA ENTERPRISES,DELHI,DL
SINV25-01626,SHIV DHVANI TRADERS,JHANSI,UP
SINV25-01627,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01628,IKKAS ENTERPRISES,JAGADHRI,HR
SINV25-01629,VEERAJ CONSTRUCTION,MAHARASHTRA,MP
SINV25-01630,MOR TRADING & CONSTRUCTION CO.,RADAUR,HR
SINV25-01631,SUNRISE SOLAR ENTERPRISES,KANPUR,UP
SINV25-01632,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-01633,TANYA ENTERPRISES,DELHI,DL
SINV25-01634,KTC SOLAR,MOONAK,PB
SINV25-01635,UNIK AND HPR SOLAR,SHRI GANGANAGAR,RJ
SINV25-01636,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01637,GLOBAL ENTERPRISES,BHATINDA,PB
SINV25-01638,SUN POWER SOLAR ENERGY,KANINA,HR
SINV25-01639,BHATIWAL SOLAR POWER SYSTEM,ABOHAR,PB
SINV25-01640,HR IGNITE INNOVATIVE INDIA PRIVATE LIMITED,AGARTHALA,TR
SINV25-01641,MAHINDRA POWER SOLUTION,REENGUS,RJ
SINV25-01642,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-01643,GO SOLAR,AMRITSAR,PB
SINV25-01644,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01645,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01646,ANURAG TRADERS,SHARANPUR,UP
SINV25-01647,EVERON ENERGIES,NAGPUR,MH
SINV25-01648,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01649,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01650,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01651,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01652,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01653,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01654,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01655,P S AROGYA TRADING COMPANY,KARNAL,HR
SINV25-01656,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01657,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01658,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01659,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01660,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01661,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01662,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01663,BDB VENTURES PRIVATE LIMITED,NEW DELHI,DL
SINV25-01664,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01665,HARYANA SOLAR ENERGY,KAITHAL,HR
SINV25-01666,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01667,M/S CHANDRA TRADERS,Muzaffarnagar,UP
SINV25-01668,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-01669,RAJDHANI ENTERPRISES,JAIPUR,RJ
SINV25-01670,CHAUHAN ENTERPRISES,YAMUNANAGAR,HR
SINV25-01671,TANYA ENTERPRISES,MUZAFFARNAGAR,UP
SINV25-01672,YASH ENTERPRISES,SAMPLA,HR
SINV25-01673,ANIL ENTERPRISES,SAMPLA,HR
SINV25-01674,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01675,INNOVATIVE ENGINEERING CO.,RAJPURA,PB
SINV25-01676,TRANS DELTA ENTERPRISES,FAIZABAD,UP
SINV25-01677,MODERN SOLAR COMPANY,ALLAHABAD,UP
SINV25-01678,NAVYA TRADERS,ISMAILAPUR,UP
SINV25-01679,ELECTRO POWER,FARIDABAD,HR
SINV25-01680,LONDHE ELECTRICALS,AURANGABAD,MH
SINV25-01681,SAVITRI CONSTRUCTION,JHANSI,UP
SINV25-01682,SHREE PITRA KRIPA TRADERS,BARAN,RJ
SINV25-01683,BANSAL BATTERY,ALIGARH,UP
SINV25-01684,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01685,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01686,OSWAL PUMPS,BHIWANI,HR
SINV25-01687,RISHIZ COREPROJECTS (OPC) PRIVATE LIMITED,BULDHANA,MH
SINV25-01688,THE GOELA ELECTRIC CO,AMBALA,HR
SINV25-01689,KATAL ELECTRONICS,MUKERIAN,PB
SINV25-01690,DOON INFRAPOWER PROJECTS PRIVATE LIMITED,JAIPUR,RJ
SINV25-01691,ENVISION ENTERPRISES,REWARI,HR
SINV25-01692,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01693,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01694,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01695,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01696,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01697,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01698,NEGO RENOVATION & MECHATRONICS,ARISIPALAYAM,TN
SINV25-01699,BHAWANI AGRO AGENCY,RANI,RJ
SINV25-01700,RJ SOLAR SOLUTIONS,BAHADURGARH,HR
SINV25-01701,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01702,ECOGOLD SOLAR PRODUCTS & SYSTEMS PRIVATE LIMITED,LUCKNOW,UP
SINV25-01703,SAMRIDDHI AND SAMARTH HIGH TECH AGRI SOLUTIONS,TIKAMGARH,MP
SINV25-01704,MANDHAN TRADING CO.,LADWA,HR
SINV25-01705,JAI MAA TRADERS,AMBALA,HR
SINV25-01706,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-01707,SAP COMMUNICATION,JAJPUR,OD
SINV25-01708,BALAJI SOLAR ENERGY,BHILWARA,RJ
SINV25-01709,ABHISHEK TRADERS,GANAUR,HR
SINV25-01710,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01711,J D ENTERPRISES,VARANSI,UP
SINV25-01712,UP AGRO FARM SOLUTIONS,BIJNOR,UP
SINV25-01713,GLOBAL ENTERPRISES,BHATINDA,PB
SINV25-01714,SURAJ SOLAR AGENCY,YAMUNANAGAR,HR
SINV25-01715,FRIENDS SOLAR SOLUTION,PANIPAT,HR
SINV25-01716,RAJDEEP ECO CARE,LADWA,HR
SINV25-01717,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-01718,OSWAL PUMPS,BHIWANI,HR
SINV25-01719,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01720,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01721,TANYA ENTERPRISES,DELHI,DL
SINV25-01722,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01723,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01724,ELECTRO POWER,FARIDABAD,HR
SINV25-01725,TANYA ENTERPRISES,DELHI,DL
SINV25-01726,ABHISHEK TRADERS,GANAUR,HR
SINV25-01727,A I CREATIONS,RAHMAT NAGAR,UP
SINV25-01728,SK SOLAR,JAIPUR,RJ
SINV25-01729,AGGARWAL MACHINARY STORE,SARDULGARH,PB
SINV25-01730,IKKAS ENTERPRISES,JAGADHRI,HR
SINV25-01731,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01732,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01733,TANYA ENTERPRISES,DELHI,DL
SINV25-01734,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01735,J S ELECTRONICS,CHHARRA,UP
SINV25-01736,INNOVATIONS,AMBALA CITY,HR
SINV25-01737,THE GOELA ELECTRIC CO,AMBALA,HR
SINV25-01738,RAJDEEP ECO CARE,LADWA,HR
SINV25-01739,ADITYA SOLAR,SIKANDRA,UP
SINV25-01740,BHARATH SOLAR,OLD GUNTUR,AP
SINV25-01741,DIAMOND RENEWABLE SOLUTIONS PRIVATE LIMITED,ZIRAKPUR,PB
SINV25-01742,FRIENDS SOLAR SOLUTION,PANIPAT,HR
SINV25-01743,TANYA ENTERPRISES,DELHI,DL
SINV25-01744,TANYA ENTERPRISES,DELHI,DL
SINV25-01745,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-01746,RAJDEEP ECO CARE,LADWA,HR
SINV25-01747,ABHISHEK TRADERS,GANAUR,HR
SINV25-01748,ABHISHEK TRADERS,GANAUR,HR
SINV25-01749,BRAJ URJA,AGRA,UP
SINV25-01750,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01751,AAROHI SERVICSES,BASTI,UP
SINV25-01752,SPECTRA TELEVENTURES PRIVATE LIMITED,NEW DELHI,DL
SINV25-01753,MULTAN TRADERS,KARNAL,HR
SINV25-01754,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01755,SUNRISE SOLAR ENTERPRISES,KANPUR,UP
SINV25-01756,SUCCESS IMPEX PVT. LTD.,NEW DELHI,DL
SINV25-01757,SUNRISE SOLAR ENTERPRISES,KANPUR,UP
SINV25-01758,VIBRANT LEADER ENTREPRENEURS SUPPORTS PVT LTD,JAJPUR,OD
SINV25-01759,TANYA ENTERPRISES,DELHI,DL
SINV25-01760,TANYA ENTERPRISES,MUZAFFARNAGAR,UP
SINV25-01761,DOON INFRAPOWER PROJECTS PRIVATE LIMITED,JAIPUR,RJ
SINV25-01762,ANURAG TRADERS,SHARANPUR,UP
SINV25-01763,SABA ENTERPRISE,BAPRETA,AS
SINV25-01764,SUNGLOW ELECTRIC POWER PRIVATE LIMITED,PALI,HR
SINV25-01765,RAJDEEP ECO CARE,LADWA,HR
SINV25-01766,BRAJ URJA,AGRA,UP
SINV25-01767,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01768,OSWAL INDUSTRIES,MADHUBAN,HR
SINV25-01769,SHRI RADHE ENTERPRISES,YAMUNANAGAR,HR
SINV25-01770,OSWAL INDUSTRIES,MADHUBAN,HR
SINV25-01771,GANESH PIPE STORE,MANDI DABWALI,HR
SINV25-01772,B.S.A. TRADERS,SIRSA,HR
SINV25-01773,THE MOHINDRA EXTRUSION,JIND,HR
SINV25-01774,SHUBHAM ENTERPRISES,KARNAL,HR
SINV25-01775,LONDHE ELECTRICALS,AURANGABAD,MH
SINV25-01776,VIBRANT LEADER ENTREPRENEURS SUPPORTS PVT LTD,JAJPUR,OD
SINV25-01777,KATAL ELECTRONICS,MUKERIAN,PB
SINV25-01778,TANYA ENTERPRISES,DELHI,DL
SINV25-01779,SHRI RADHE ENTERPRISES,YAMUNANAGAR,HR
SINV25-01780,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01781,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01782,KHALSA POWER SOLAR PVT LTD,DERA BABA NANAK,PB
SINV25-01783,ELECTRO POWER,FARIDABAD,HR
SINV25-01784,TARAN TRADERS,GURDASPUR,PB
SINV25-01785,AASAAR INDUSTRIES PVT. LTD.,KAITHAL,HR
SINV25-01786,ANANT ENERGY,PALHAWAS,HR
SINV25-01787,MAAN SOLAR & ELECTRONICS,GIDHARBAHA,PB
SINV25-01788,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01789,ECOSOLAR POWER MARKETING PRIVATE LIMITED,SARDULGARH,PB
SINV25-01790,TANYA ENTERPRISES,DELHI,DL
SINV25-01791,BABA ELECTRICAL STORE,SITAPUR,UP
SINV25-01792,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01793,TANYA ENTERPRISES,DELHI,DL
SINV25-01794,BANYAL SOLAR SOLUTIONS,LOHARWIN,HP
SINV25-01795,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01796,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01797,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01798,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01799,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01800,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01801,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01802,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01803,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01804,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01805,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01806,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01807,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01808,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01809,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01810,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01811,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01812,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01813,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01814,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01815,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01816,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01817,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01818,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01819,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01820,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01821,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01822,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01823,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01824,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01825,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01826,TANYA ENTERPRISES,DELHI,DL
SINV25-01827,RAJDEEP ECO CARE,LADWA,HR
SINV25-01828,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01829,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01830,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01831,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01832,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01833,AASAAR INDUSTRIES PVT. LTD.,KAITHAL,HR
SINV25-01834,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01835,GURU NANAK ELECTRIC STORE,LAKHIMPUR,UP
SINV25-01836,PRASHANT SOLAR POWER,DHARAI,UP
SINV25-01837,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01838,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01839,SAP COMMUNICATION,JAJPUR,OD
SINV25-01840,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01841,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01842,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01843,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01844,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01845,FBI MULTI VENTURES,CHADOORA,JK
SINV25-01846,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01847,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01848,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01849,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01850,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01851,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01852,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01853,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01854,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01855,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01856,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01857,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01858,ABHISHEK TRADERS,GANAUR,HR
SINV25-01859,SHREE TECH SOLAR POWER SOLUTIONS,MEERUT,UP
SINV25-01860,Y.A.GLOBAL VENTURES PRIVATE LIMITED,PANIPAT,HR
SINV25-01861,MAHINDRA POWER SOLUTION,REENGUS,RJ
SINV25-01862,REDPORT INFRA PRIVATE LIMITED,KADAPA,AP
SINV25-01863,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01864,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01865,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01866,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01867,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01868,BANYAL SOLAR SOLUTIONS,LOHARWIN,HP
SINV25-01869,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01870,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01871,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01872,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01873,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01874,SHUBHAM ENTERPRISES,KARNAL,HR
SINV25-01875,SHIV DHVANI TRADERS,JHANSI,UP
SINV25-01876,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01877,GLACIER ENVIRO INDIA PVT LTD,GHUNNA,UP
SINV25-01878,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01879,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01880,E-WYSE RECYCLE PRIVATE LIMITED,HARIDWAR,UK
SINV25-01881,ZAVIRA INDIA PRIVATE LIMITED,KARNAL,HR
SINV25-01882,MODERN SOLAR COMPANY,ALLAHABAD,UP
SINV25-01883,JAI GURUDEV INFRATECH,AMBEDKAR NAGAR,UP
SINV25-01884,SK SOLAR,JAIPUR,RJ
SINV25-01885,M B ENTERPRISES,SHAHJAHANPUR,UP
SINV25-01886,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01887,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01888,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01889,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01890,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01891,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01892,OSWAL PUMPS LIMITED,KUTAIL,HR
SINV25-01893,OSWAL PUMPS LIMITED,KUTAIL,HR
