no,billToName,billToCity,state
SINV25-00005,BRAJ URJA,AGRA,UP
SINV25-00006,SOUTHSIDE SOLAR SOLUTIONS PRIVATE LIMITED,NARNAUL,HR
SINV25-00007,SK SOLAR,JAIPUR,RJ
SINV25-00008,M/S JITENDRA ELECTRIC CO.,SHAMLI,UP
SINV25-00009,SANKHLA ELECTRIC STORE,NAGAUR,RJ
SINV25-00010,MODERN SOLAR COMPANY,ALLAHABAD,UP
SINV25-00011,HARYANA SOLAR ENERGY,KAITHAL,HR
SINV25-00012,LONDHE ELECTRICALS,AURANGABAD,MH
SINV25-00013,SOLAR SALES & MARKETING COMPANY,BARABANKI,UP
SINV25-00014,KARAIL TRADING COMPANY,MOONAK,PB
SINV25-00015,TEKNOSS INFRACON (OPC) PRIVATE LIMITED,JAMMU,JK
SINV25-00016,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00017,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00018,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00019,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00020,THE MOHINDRA EXTRUSION,JIND,HR
SINV25-00021,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00022,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00023,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00024,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00025,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00026,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00027,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00028,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00029,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00030,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00031,BHARAT PUMPS AND PIPE,KURUKSHETRA,HR
SINV25-00032,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00033,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00034,AAROHI SERVICSES,BASTI,UP
SINV25-00035,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00036,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00037,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00038,CHAHAL POWER PROJECTS,UKLANA,HR
SINV25-00039,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00040,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00041,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00042,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00043,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00044,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00045,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00046,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00047,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00048,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
